id,brand,model,color,plate,year,seats,price,availability
CAT001,Toyota,Corolla,White,B1234XYZ,2018,5,300000,Yes
CAT002,Honda,Civic,Black,D5678ABC,2020,5,280000,No
CAT003,Ford,Mustang,Red,E9012DEF,2019,4,700000,Yes
CAT004,Chevrolet,Camaro,Blue,F3456GHI,2021,4,760000,Yes
CAT005,Nissan,Altima,Silver,G7890JKL,2017,5,280000,No
CAT006,BMW,X5,Black,H1122MNO,2022,5,1000000,Yes
CAT007,Mercedes,C-Class,White,I3344PQR,2020,5,900000,No
CAT008,Audi,A4,Grey,J5566STU,2019,5,840000,Yes
CAT009,Hyundai,Elantra,Blue,K7788VWX,2018,5,340000,Yes
CAT010,Kia,Sorento,Red,L9900YZA,2021,7,560000,No
CAT011,Subaru,Impreza,Silver,M1123BCD,2020,5,440000,Yes
CAT012,Mazda,CX-5,Black,N3345EFG,2019,5,520000,Yes
CAT013,Tesla,Model 3,White,O5567HIJ,2022,5,1100000,No
CAT014,Volkswagen,Jetta,Blue,P7789KLM,2017,5,320000,Yes
CAT015,Volvo,XC60,Grey,Q9901NOP,2019,5,960000,No
CAT016,Lexus,RX 350,Silver,R1124QRS,2021,5,1040000,Yes
CAT017,Jeep,Wrangler,Green,S3346TUV,2020,5,720000,Yes
CAT018,Dodge,Charger,Black,T5568WXY,2019,5,640000,No
CAT019,Ram,1500,White,U7790ZAB,2018,5,800000,Yes
CAT020,GMC,Terrain,Red,V1125CDE,2022,5,620000,No
CAT021,Cadillac,Escalade,Black,W3347FGH,2021,7,1700000,Yes
CAT022,Porsche,911,Silver,X5569IJK,2020,2,1800000,No
CAT023,Ferrari,488,Red,Y7791LMN,2021,2,5000000,Yes
CAT024,Lamborghini,Huracan,Yellow,Z9902OPQ,2022,2,6000000,No
CAT025,McLaren,720S,Orange,A1134RST,2020,2,5600000,Yes
